日期,縣市,801 KW以上售電量(度),801 KW以上抄表戶數,801 KW以上用電佔比(%),小於等於800 KW售電量(度),小於等於800 KW抄表戶數,小於等於800 KW用電佔比(%),表燈營業用電售電量(度),表燈營業用電抄表戶數,表燈營業用電用電佔比(%),合計
2019年06月,基隆市,9408400,19,0.0073,21585189,1251,0.0144,15532180,7455,0.0119,46525769
2019年06月,新竹市,52421478,56,0.0409,34015618,2060,0.0227,24968704,10437,0.0191,111405800
2019年06月,嘉義市,11087000,16,0.0087,21964893,1246,0.0146,14763124,8456,0.0113,47815017
2019年06月,澎湖縣,4091800,6,0.0032,9783103,473,0.0065,4433096,2516,0.0034,18307999
2019年06月,金門縣,3314492,7,0.0026,4924834,503,0.0033,2795425,2203,0.0021,11034751
2019年06月,連江縣,0,0,0,1957576,183,0.0013,1127210,731,0.0009,3084786
2019年06月,合計,1280589014,1573,1,1499593175,87435,1,1304165449,608613,1,4084347638
2019年05月,新北市,112590500,152,0.0913,190040633,11954,0.1314,229201178,101648,0.1753,531832311
2019年05月,台北市,365670304,472,0.2966,253602405,14367,0.1754,208852045,92629,0.1597,828124754
2019年05月,桃園市,131122889,164,0.1063,125558692,6070,0.0868,118494182,49762,0.0906,375175763
2019年05月,台中市,119680900,194,0.0971,172342810,10215,0.1192,182471944,87535,0.1395,474495654
2019年05月,台南市,68752740,80,0.0558,119846382,8015,0.0829,89026432,47049,0.0681,277625554
2019年05月,高雄市,165466239,180,0.1342,184625662,10722,0.1277,145088772,72699,0.111,495180673
2019年05月,宜蘭縣,13938359,23,0.0113,28387079,1495,0.0196,28387515,15765,0.0217,70712953
2019年05月,新竹縣,18906080,24,0.0153,34178546,1888,0.0236,27439985,12209,0.021,80524611
2019年05月,苗栗縣,12290080,17,0.01,22640439,1233,0.0157,26069920,14749,0.0199,61000439
2019年05月,彰化縣,67748338,32,0.0549,63437805,5216,0.0439,49283270,28132,0.0377,180469413
2019年05月,南投縣,9596740,22,0.0078,25015313,1517,0.0173,20871274,12166,0.016,55483327
2019年05月,雲林縣,13205200,25,0.0107,33567876,2368,0.0232,29287653,20205,0.0224,76060729
2019年05月,嘉義縣,13928200,13,0.0113,17461665,1323,0.0121,18078712,11707,0.0138,49468577
2019年05月,屏東縣,20400079,36,0.0165,46652439,3330,0.0323,35336431,20861,0.027,102388949
2019年05月,台東縣,5094800,8,0.0041,16526117,836,0.0114,10829264,6845,0.0083,32450181
2019年05月,花蓮縣,17824928,24,0.0145,23763728,1230,0.0164,21479752,11304,0.0164,63068408
2019年05月,基隆市,8969000,19,0.0073,20269577,1253,0.014,15564531,7570,0.0119,44803108
2019年05月,新竹市,50425923,56,0.0409,31789378,2068,0.022,24727936,11291,0.0189,106943237
2019年05月,嘉義市,10876200,16,0.0088,21270367,1244,0.0147,16339227,9499,0.0125,48485794
2019年05月,澎湖縣,3429000,6,0.0028,9005084,472,0.0062,6004246,4002,0.0046,18438330
2019年05月,金門縣,3026348,7,0.0025,4367887,502,0.003,3797959,2662,0.0029,11192194
2019年05月,連江縣,0,0,0,1757115,185,0.0012,1005229,632,0.0008,2762344
2019年05月,合計,1232942847,1570,1,1446106999,87503,1,1307637457,640921,1,3986687303
2019年04月,新北市,104736665,153,0.0919,166797265,11982,0.1306,175208689,90037,0.1594,446742619
2019年04月,台北市,338942607,470,0.2975,224280507,14391,0.1756,159595579,85735,0.1452,722818693
